AMPID,TITLE,LATITUD,LONGITUD,TYPE,DESCRIPTION
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.81667,-88.93333,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.9,-88.71667,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.7,-88.88333,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.61667,-88.8,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.76667,-88.77917,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.76667,-88.78333,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.7,-88.7,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.66667,-88.7,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.95,-88.75,MULTISECTOR / CORTE CRUZADO,
87171352739,Apoyo a peque_as obras de infraestructura en Higuito,14.9,-88.78333,MULTISECTOR / CORTE CRUZADO,
87171352741,Apoyo a peque_as obras de infraestructura en Trujillo,15.88333,-85.83333,MULTISECTOR / CORTE CRUZADO,
87171407704,Asistencia a Victimas de Trata,15,-86.5,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
871711214603,"Asistencia Para la Puesta en Marcha del ""Programa Especial para la Seguridad Alimentaria"" [PESA]",13.95,-87.66667,AYUDA DE LA MATERIA Y AYUDA GENERAL DEL PROGRAMA,
871711610687,"Asistencia T_cnica, Fortalecimiento de Capacidades para el An•À_lisis y Alinemiento de la Cooperaci•À_n para el Desarrollo, Seguimiento y Evaluaci•À_n de Programas y Proyectos.",15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
87171352796,Capacidades para la gesti•À_n del agua en la mancomunidad de MAMUCA fase III,15.61477,-87.34577,MULTISECTOR / CORTE CRUZADO,
87171352796,Capacidades para la gesti•À_n del agua en la mancomunidad de MAMUCA fase III,15.66667,-86.91667,MULTISECTOR / CORTE CRUZADO,
87171352796,Capacidades para la gesti•À_n del agua en la mancomunidad de MAMUCA fase III,15.66667,-87.2,MULTISECTOR / CORTE CRUZADO,
87171352796,Capacidades para la gesti•À_n del agua en la mancomunidad de MAMUCA fase III,15.66667,-87.1,MULTISECTOR / CORTE CRUZADO,
87171353181,Consolidaci•À_n de la Fundaci•À_n Comayagua Colonial,14.45,-87.63333,MULTISECTOR / CORTE CRUZADO,
87171352879,Consolidaci•À_n del Sistema Nacional de Gesti•À_n de Riesgos [2007] 2da. Fase,15,-86.5,AYUDA HUMANITARIA,
87171125576,"Construcci•À_n de Eco-fogones con Acompa_amiento, Capacitaci•À_n e Instalaci•À_n de Hornillas Mejoradas, ""Estufas Justas"" en siete departamentos de Honduras",14.10045,-87.16089,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171125576,"Construcci•À_n de Eco-fogones con Acompa_amiento, Capacitaci•À_n e Instalaci•À_n de Hornillas Mejoradas, ""Estufas Justas"" en siete departamentos de Honduras",14.10077,-87.22514,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171125576,"Construcci•À_n de Eco-fogones con Acompa_amiento, Capacitaci•À_n e Instalaci•À_n de Hornillas Mejoradas, ""Estufas Justas"" en siete departamentos de Honduras",15.53695,-88.01323,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171125576,"Construcci•À_n de Eco-fogones con Acompa_amiento, Capacitaci•À_n e Instalaci•À_n de Hornillas Mejoradas, ""Estufas Justas"" en siete departamentos de Honduras",14.85114,-85.89412,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171125576,"Construcci•À_n de Eco-fogones con Acompa_amiento, Capacitaci•À_n e Instalaci•À_n de Hornillas Mejoradas, ""Estufas Justas"" en siete departamentos de Honduras",15.43333,-88.01667,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171125576,"Construcci•À_n de Eco-fogones con Acompa_amiento, Capacitaci•À_n e Instalaci•À_n de Hornillas Mejoradas, ""Estufas Justas"" en siete departamentos de Honduras",15.41667,-87.98333,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171125576,"Construcci•À_n de Eco-fogones con Acompa_amiento, Capacitaci•À_n e Instalaci•À_n de Hornillas Mejoradas, ""Estufas Justas"" en siete departamentos de Honduras",14.92,-89.15,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171125576,"Construcci•À_n de Eco-fogones con Acompa_amiento, Capacitaci•À_n e Instalaci•À_n de Hornillas Mejoradas, ""Estufas Justas"" en siete departamentos de Honduras",14.83333,-86,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
